chiefcomplaint,total_cases_F,total_cases_M,deaths_F,deaths_M,survivors_F,survivors_M,mortality_rate_F,mortality_rate_M
"BASIC TRAUMA S/P FALL, EPIDURAL ABSCESS",1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"BASIC TRAUMA, MVC",2.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0
"BASIC TRAUMA, MVC, Transfer",0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
"BASIC TRAUMA, Transfer",8.0,3.0,0.0,0.0,8.0,3.0,0.0,0.0
"BASIC TRAUMA, s/p Fall",1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
"BASIC TRAUMA, s/p Fall, Transfer",8.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0
BAT BIT,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
BAT BITE,0.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0
BAT ENCOUNTER,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0
BAT EXPOSURE,78.0,63.0,0.0,0.0,78.0,63.0,0.0,0.0
BAT EXPOSURE ,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
BAT EXPOSURE/RABIES,0.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0
"BAT IN APPT, FOR EVAL'",1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
BAT TO HEAD,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
"BATERIMIA, Transfer",0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0
BATHILONS CYST,8.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0
BATHING IN A PUDDLE,27.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0
BATHOLINS CYST,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"BATTERY CHANGE, UNABLE TO SWALLOW",0.0,1.0,0.0,1.0,0.0,0.0,0.0,100.0
BED AT ARBOR/R HAND INJURY,0.0,7.0,0.0,0.0,0.0,7.0,0.0,0.0
BED BUG BITES,0.0,34.0,0.0,0.0,0.0,34.0,0.0,0.0
"BED BUGS, s/p Fall",0.0,48.0,0.0,0.0,0.0,48.0,0.0,0.0
BEDTIME,0.0,108.0,0.0,0.0,0.0,108.0,0.0,0.0
BEE STING,69.0,31.0,0.0,0.0,69.0,31.0,0.0,0.0
"BEE STING, Headache",15.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0
BEE STING- TACHY,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
BEHAVIOR CHANGES,5.0,12.0,0.0,0.0,5.0,12.0,0.0,0.0
BEHAVIOURAL CHANGES,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
BEHAVIOURAL ISSUES,2.0,4.0,0.0,0.0,2.0,4.0,0.0,0.0
BEING GASSED AND PROBED,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
BELCHING,2.0,8.0,0.0,0.0,2.0,8.0,0.0,0.0
"BELCHING, Back pain",0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
"BELCHING, Headache, Unsteady gait",6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
"BELCHING, Sore throat",4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
BELL'S PALSY/HEADACHE,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0
BELLIGERENT/? INTOX,0.0,48.0,0.0,0.0,0.0,48.0,0.0,0.0
BELLS PALSEY /BLURRED VISION.?HERPES,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0
"BENZO ABUSE, Detox",0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0
BENZO OD,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0
BENZO WITHDRAWAL,21.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0
BENZO/OPIATE WITHDRAWAL,0.0,7.0,0.0,0.0,0.0,7.0,0.0,0.0
BEST EVAL,17.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0
BETWEEN TOE PAIN,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
BI-TRANSFER,42.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0
BIALT LE WEAKNESS,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
BIATERAL PNEUMONIA,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
BICYCLE,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0
BICYCLE   ACCIDENT,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
BICYCLE  ACCIDENT,2.0,6.0,0.0,0.0,2.0,6.0,0.0,0.0
BICYCLE  CRASH,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0
BICYCLE ACCIDENT,17.0,45.0,0.0,0.0,17.0,45.0,0.0,0.0
BICYCLE ACCIDENT ,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
BICYCLE ACCIDENT-24HRS AGO,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
BICYCLE ACCIDENT.,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
BICYCLE ACIDENT,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0
BICYCLE COLLISION,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
BICYCLE CRASH,8.0,23.0,0.0,0.0,8.0,23.0,0.0,0.0
BICYCLE FALL,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
BICYCLE INJURIES,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0
BICYCLE STRUCK,5.0,20.0,0.0,0.0,5.0,20.0,0.0,0.0
BICYCLE STRUCK ,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
BICYCLE STRUCK BY CAR,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
BICYCLE VS CAR,2.0,4.0,0.0,0.0,2.0,4.0,0.0,0.0
BICYCLE VS CAR DOOR,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0
BICYCLE VS CAR LOW SPEED,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0
BICYCLE VS PEDESTRIAN,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
BICYCLE VS POLE,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
BICYCLIST,1.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0
BICYCLIST    STRUCK,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
BICYCLIST  STRUCK,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0
BICYCLIST  STRUCK YESTERDAY,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
BICYCLIST ACCIDENT,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
BICYCLIST COLLISION,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0
BICYCLIST FALL,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0
BICYCLIST HEAD INJ,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
BICYCLIST ST5RUCK,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
BICYCLIST STRUCK,29.0,54.0,0.0,0.0,29.0,54.0,0.0,0.0
BICYCLIST STRUCK BY CAR,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0
BICYCLIST STRUCK TRANSFER,0.0,8.0,0.0,0.0,0.0,8.0,0.0,0.0
BICYCLIST STRUCK TX,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0
"BICYCLIST STRUCK, Back pain",0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
"BICYCLIST STRUCK, Syncope",0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0
BICYCLIST STUCK,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0
BICYCLIST THROWN,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
BICYCLIST V. CAR,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
BICYCLIST VS CAR,3.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0
BICYCLIST VS PED,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
BICYCLIST VS TRUCK,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
BICYCLLIST STRUCK,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
BICYLCLIST STRUCK,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
BICYLE ACC,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0
BICYLE ACCIDENT,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
BICYLIST STRUCK,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0
BIGEMENY/CP/DIZZINESS,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
BIKE ACCIDENT,25.0,51.0,0.0,0.0,25.0,51.0,0.0,0.0
BIKE ACCIDENT TX,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
"BIKE ACCIDENT, Clavicle fracture, PNEUMO",0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
"BIKE ACCIDENT, Pneumothorax, Finger injury, CLAV FX",0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
"BIKE ACCIDENT, T5 FX",0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
"BIKE ACCIDENT, Transfer",0.0,7.0,0.0,0.0,0.0,7.0,0.0,0.0
"BIKE ACCIDENT, s/p Fall",0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
BIKE ACCIDENT-PNEUMOTHORAX,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0
BIKE ACCIDENT.,0.0,38.0,0.0,0.0,0.0,38.0,0.0,0.0
BIKE CRASH,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
BIKE CRASH ___,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
BIKE INJURY,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
BIKE STRUCK,4.0,5.0,0.0,0.0,4.0,5.0,0.0,0.0
BIKE VS CAR,2.0,10.0,0.0,0.0,2.0,10.0,0.0,0.0
BIKE VS PED,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
BIKE VS. CAR,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0
BIKER VS CAR,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
BIL  ARM  SWELLING,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
BIL  DVT'S,1.0,6.0,0.0,1.0,1.0,5.0,0.0,16.7
BIL  KNEE  PAIN,18.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0
BIL  LEG   EDEMA,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
BIL  LEG  EDEMA,19.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0
BIL  LEG  PAIN,0.0,16.0,0.0,0.0,0.0,16.0,0.0,0.0
BIL  LEG  WEAKNESS,8.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0
BIL  RIB  PAIN,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
BIL ANKLE FX,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
BIL ANKLE SWELLING,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
BIL ARM REDNESS/SWELLING,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0
BIL CALF  PAIN,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
BIL EAR PAIN,2.0,8.0,0.0,1.0,2.0,7.0,0.0,12.5
BIL EYE EVAL,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
BIL EYE PAIN,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
BIL EYE REDNESS,14.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0
BIL FEET SWELLING ,16.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0
BIL FEET/NUMBNESS TO TOES/CELLULITIS,7.0,0.0,1.0,0.0,6.0,0.0,14.299999999999999,0.0
BIL FLANK PAIN,36.0,7.0,0.0,0.0,36.0,7.0,0.0,0.0
BIL FLANK PAIN +KIDNEY STONES,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
BIL FOOT  PAIN,0.0,5.0,0.0,1.0,0.0,4.0,0.0,20.0
BIL FOOT PAIN,81.0,108.0,0.0,0.0,81.0,108.0,0.0,0.0
BIL FOOT PAIN/ULCERS,0.0,17.0,0.0,0.0,0.0,17.0,0.0,0.0
BIL FOOT SWELLING,11.0,5.0,2.0,0.0,9.0,5.0,18.2,0.0
BIL GREAT TOE INFECTION,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
BIL GROIN PAIN,0.0,13.0,0.0,0.0,0.0,13.0,0.0,0.0
BIL GUN SHOT WOUNDS TO KNEES,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
BIL HAND NUMBNESS,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
BIL HAND PAIN,3.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0
BIL HAND PAIN/ARM PAIN,13.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0
BIL HAND RASH/PAIN,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
BIL KNEE  PAIN,26.0,1.0,0.0,0.0,26.0,1.0,0.0,0.0
BIL KNEE PAIN,5.0,43.0,0.0,0.0,5.0,43.0,0.0,0.0
BIL LE EDEMA,8.0,22.0,0.0,1.0,8.0,21.0,0.0,4.5
BIL LE EDEMA ,10.0,0.0,1.0,0.0,9.0,0.0,10.0,0.0
BIL LE PAIN,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
BIL LE PARALYSIS,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
BIL LE REDNESS,22.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0
BIL LE SWELLING,1.0,8.0,0.0,0.0,1.0,8.0,0.0,0.0
BIL LEG  SWELLING,0.0,13.0,0.0,0.0,0.0,13.0,0.0,0.0
BIL LEG CELLULITIS,0.0,8.0,0.0,1.0,0.0,7.0,0.0,12.5
BIL LEG EDEMA,2.0,0.0,2.0,0.0,0.0,0.0,100.0,0.0
BIL LEG FRACTURES,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
BIL LEG PAIN,49.0,62.0,0.0,0.0,49.0,62.0,0.0,0.0
BIL LEG PAIN S/P PED STRUCK,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
BIL LEG REDDNESS,76.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0
BIL LEG SWELLING,8.0,7.0,1.0,0.0,7.0,7.0,12.5,0.0
BIL LEG SWELLING ,13.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0
"BIL LEG SWELLING, Dyspnea on exertion",0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
BIL LEG SWELLING/RASH,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
BIL LEG ULCERS,1.0,4.0,0.0,0.0,1.0,4.0,0.0,0.0
BIL LEG WEAKNESS,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
"BIL LEG WEAKNESS, s/p Fall",0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
BIL LEG WEAKNESS/DIZZY,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0
BIL LEG WEAKNESS/HYPOTENSION,0.0,4.0,0.0,1.0,0.0,3.0,0.0,25.0
BIL LOWER EXTREMITY PAIN,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
BIL MANDIBLE  FX/,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
BIL SHOULDER PAIN,7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
"BIL, Foot pain, Foot swelling",3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
"BIL, Leg pain",1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
BIL. EYE ITCHING/RASH,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
BIL. EYE PAIN,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
BIL. LEG PAIN,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
BIL. SHOULDER PAIN/HANDS NUMB,22.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0
BILARY DRAIN FELL OUT,0.0,8.0,0.0,0.0,0.0,8.0,0.0,0.0
BILAT ANKLE INJURY,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
BILAT ANKLE PAIN,10.0,3.0,0.0,0.0,10.0,3.0,0.0,0.0
BILAT ANKLE REDNESS,16.0,0.0,1.0,0.0,15.0,0.0,6.2,0.0
BILAT ANKLE SWELLING,2.0,24.0,0.0,0.0,2.0,24.0,0.0,0.0
BILAT ANKLE/KNEE PAIN,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
BILAT ARM AND LEG WEAKNESS,0.0,7.0,0.0,0.0,0.0,7.0,0.0,0.0
BILAT ARM HEAVINESS,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
"BILAT ARM ITCHING, Chills",0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0
"BILAT ARM NUMBNESS, Facial numbness",1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
BILAT ARM PAIN,3.0,89.0,0.0,0.0,3.0,89.0,0.0,0.0
BILAT ARM TINGLING,0.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0
BILAT BACK/FLANK PAIN,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
BILAT BUTTOCK PAIN,0.0,25.0,0.0,0.0,0.0,25.0,0.0,0.0
BILAT CALCANEOUS FX,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
BILAT CALF PAIN,1.0,4.0,0.0,0.0,1.0,4.0,0.0,0.0
BILAT CALF PAIN AND BRUISING,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
BILAT DVT,0.0,7.0,0.0,0.0,0.0,7.0,0.0,0.0
BILAT DVT'S,3.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0
BILAT EAR IRRITATION,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0
BILAT EAR PAIN,4.0,7.0,0.0,0.0,4.0,7.0,0.0,0.0
BILAT EAR REDNESS AND SWELLING,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
BILAT EAR RINGING,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
BILAT EAR'S CLOGGED,46.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0
BILAT ELBOW INJURY S/P FALL OFF BIKE,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
BILAT ELBOW PAIN,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
BILAT EXTREM TINGLING,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0
BILAT EYE CRUSTING/REDNESS,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
BILAT EYE DISCHARGE,0.0,11.0,0.0,0.0,0.0,11.0,0.0,0.0
BILAT EYE DISCOMFORT,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
BILAT EYE DRAINAGE,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0
BILAT EYE INFECTIONS,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
BILAT EYE IRRITATION,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
BILAT EYE IRRITATIONS,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
BILAT EYE PAIN,3.0,16.0,0.0,0.0,3.0,16.0,0.0,0.0
BILAT EYE PAIN WITH REDNESS,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
BILAT EYE REDNESS,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
BILAT EYE REDNESS/ SWELLING,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0
BILAT EYE REDNESS/PAIN,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
BILAT EYE SWELLING,6.0,1.0,0.0,0.0,6.0,1.0,0.0,0.0
"BILAT EYE SWELLING AND PAIN, Facial pain",1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
BILAT EYELID REDNESS,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
BILAT FEET NUMBNESS,8.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0
BILAT FEET PAIN,2.0,32.0,0.0,0.0,2.0,32.0,0.0,0.0
BILAT FEET REDNESS AND SWELLING,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
BILAT FEET SWELLING,6.0,32.0,0.0,2.0,6.0,30.0,0.0,6.2
"BILAT FEET SWELLING, BACK PAIN",2.0,0.0,2.0,0.0,0.0,0.0,100.0,0.0
BILAT FLANK AND CHEST PAIN,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
BILAT FLANK PAIN,50.0,17.0,0.0,0.0,50.0,17.0,0.0,0.0
BILAT FLANK PAIN ,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0
BILAT FOOT BURNING,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0
BILAT FOOT CELLULITIS,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
BILAT FOOT INFX,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
BILAT FOOT NUMBNESS,0.0,19.0,0.0,0.0,0.0,19.0,0.0,0.0
BILAT FOOT PAIN,16.0,146.0,0.0,0.0,16.0,146.0,0.0,0.0
BILAT FOOT PAIN S/P FALL,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
BILAT FOOT PAIN SWELLING,0.0,1.0,0.0,1.0,0.0,0.0,0.0,100.0
BILAT FOOT PAIN/BURNING,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
BILAT FOOT PAIN/HAND SWELLING,22.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0
BILAT FOOT RASH,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
BILAT FOOT SWELLING,16.0,7.0,0.0,2.0,16.0,5.0,0.0,28.599999999999998
BILAT GROIN BLEEDING,0.0,9.0,0.0,0.0,0.0,9.0,0.0,0.0
BILAT GROIN PAIN,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0
BILAT HAND AND ANKLE SWELLING,76.0,0.0,3.0,0.0,73.0,0.0,3.9,0.0
BILAT HAND AND FACE NUMBNESS,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
BILAT HAND AND FEET PARATHESIA,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"BILAT HAND AND FEET SWELLING, Sore throat",4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
BILAT HAND AND FEET TINGLING,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
BILAT HAND AND FOOT SWELLING,0.0,23.0,0.0,0.0,0.0,23.0,0.0,0.0
BILAT HAND INJURIES,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
BILAT HAND INJURY,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
BILAT HAND NUMBNESS,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0
BILAT HAND PAIN,8.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0
BILAT HAND PAIN AND HEAVINESS,15.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0
BILAT HAND PAIN AND SWELLING,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
"BILAT HAND PAIN, ABD PAIN",0.0,76.0,0.0,0.0,0.0,76.0,0.0,0.0
BILAT HAND REDNESS,0.0,8.0,0.0,0.0,0.0,8.0,0.0,0.0
"BILAT HAND TINGLING, SOB",8.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0
BILAT HAND/FEET NUMBNESS,16.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0
BILAT HAND/WRIST PAIN,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
BILAT HANDS AND FEET PAIN AND SWELLING,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
BILAT HEEL PAIN,0.0,32.0,0.0,0.0,0.0,32.0,0.0,0.0
BILAT HIP PAIN,11.0,9.0,0.0,0.0,11.0,9.0,0.0,0.0
BILAT HIP PAIN ,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
BILAT HIP PAIN AND DECREASED MUSCLE CONTROL ,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
"BILAT HIP PAIN, BILAT KNEE PAIN",47.0,0.0,1.0,0.0,46.0,0.0,2.1,0.0
BILAT INFILTRATES,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
BILAT KNEE AND ANKLE SWELLING,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
BILAT KNEE AND BACK PAIN,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0
BILAT KNEE CREPITUS,0.0,8.0,0.0,0.0,0.0,8.0,0.0,0.0
BILAT KNEE PAIN,30.0,79.0,0.0,0.0,30.0,79.0,0.0,0.0
BILAT KNEE PAIN AND BACK PAIN,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
BILAT KNEE PAIN AND SWELLING,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
BILAT KNEE SWELLING,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0
"BILAT KNEE, HIP PAIN",6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
BILAT LE CELLULITIS,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
BILAT LE DVT,32.0,0.0,3.0,0.0,29.0,0.0,9.4,0.0
BILAT LE EDEMA,33.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0
BILAT LE EDEMA/CYANOSIS,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
BILAT LE EVAL,19.0,0.0,1.0,0.0,18.0,0.0,5.3,0.0
BILAT LE NUMBNESS,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
BILAT LE PAIN,27.0,86.0,1.0,2.0,26.0,84.0,3.6999999999999997,2.3
BILAT LE PAIN/WEAKNESS,0.0,2.0,0.0,1.0,0.0,1.0,0.0,50.0
BILAT LE SWELLING,63.0,1.0,3.0,0.0,60.0,1.0,4.8,0.0
BILAT LE SWELLING/BACK PAIN,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
BILAT LE SWELLING/REDNESS,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
BILAT LE TREMORS,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0
BILAT LE WEAKNESS,9.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0
BILAT LE WEAKNESS/EDEMA,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
BILAT LE WEEPING,5.0,0.0,1.0,0.0,4.0,0.0,20.0,0.0
"BILAT LE, Dyspnea, R Leg Redness",0.0,23.0,0.0,0.0,0.0,23.0,0.0,0.0
BILAT LEG AND ARM HEAVINESS,7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
BILAT LEG CRAMPING,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0
BILAT LEG CRAMPS,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
BILAT LEG EDEMA,5.0,3.0,0.0,0.0,5.0,3.0,0.0,0.0
BILAT LEG EDEMA/REDNESS,2.0,0.0,1.0,0.0,1.0,0.0,50.0,0.0
BILAT LEG NUMBNESS,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
BILAT LEG PAIN,184.0,138.0,4.0,5.0,180.0,133.0,2.1999999999999997,3.5999999999999996
BILAT LEG PAIN AND SWELLING,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
