chiefcomplaint,count
"Hematuria, Confusion",27
PNEUMONIA/SOB,27
"Tick bite, RE EVAL",27
"Sore throat, Body aches",27
"Fatigue, Lightheaded",27
ETOH/FEELS HOT,27
"Dyspnea, N/V, Weakness",27
"Abd pain, Inguinal pain",27
ASTHMA ATTACK,27
"Abdominal distention, Confusion, B Leg pain",27
"Chest pain, Headache, N/V, Visual changes",27
"RUQ abdominal pain, Headache, RLQ abdominal pain",27
"Fever, Fatigue, Transfer",27
"Labor, Pregnant",27
"Hyperglycemia, Palpitations",27
"ETOH, L Hand laceration",27
CATHETER PROBLEM,27
"s/p Fall, ON COUMADIN",27
"Dysuria, Vaginal bleeding",27
"Vomiting, ETOH",27
"Nausea, Chest pain",27
"Epigastric pain, ILI",27
"s/p Fall, Lightheaded",27
"Rib fracture, s/p Fall, Transfer",27
FEELING FAINT,27
"L Ear pain, Headache",27
RIGHT ANKLE SWELLING,27
"N/V, HYPERGLYCEMIA",27
"Substance use, Tachycardia",27
"Chest pain, Palpitations, Anxiety",27
"Chest pain, Headache, Nausea",27
"Back pain, Presyncope",27
BILATERAL HAND PAIN,27
"Weakness, DK STOOLS",27
"Dyspnea on exertion, Fatigue, Anemia",27
"Headache, Rectal pain",27
"Headache, Nausea, Rectal pain",27
"Back pain, Headache, N/V",27
"Rectal pain, Syncope",27
"Headache, Dysuria",27
"Dizziness, LUQ abd pain, N/V",27
"R Shoulder pain, Scapula pain",27
"Hip pain, Rectal pain",27
"LLQ abdominal pain, L Leg pain",27
"Chest pain, B Leg pain",27
HAND AND FEET CRAMPING,27
"Epigastric pain, Chest pain, ITCH",27
"Weakness, B Leg swelling",27
BIL KNEE  PAIN,27
"Cough, Dyspnea, Pneumonia, Transfer",27
BACK INJURY,27
"Altered mental status, Agitation",27
"Altered mental status, Facial droop",27
"Chest pain, Confusion, Hallucinations",27
"Fever, Cough, Headache",27
"Abd pain, Fever, Nausea, Vomiting",27
"Headache, Hyperkalemia, Lightheaded",27
"Body aches, Diarrhea",27
DIFF AMBULATING,27
"Diarrhea, Pain",27
"Knee swelling, L Knee pain",27
"BLEEDING FROM OSTOMY, JOINT PAIN",27
"Abnormal labs, BRBPR, Fever, Vomiting",27
"B Wrist injury, B Ankle pain",27
"L Flank pain, L Testicular pain",27
"Fever, Hip pain, Nausea",27
"Lower abdominal pain, Vomiting, Melena, Depression",27
BODY NUMBNESS,27
"Fever, Dental pain",27
VOMITING ABD PAIN,27
"Dyspnea, Foot swelling",27
"L Elbow pain, L Knee pain, s/p Fall",27
PULLED OUT DIALYSIS CATH,27
"Abd pain, L Arm swelling",27
"L Hip injury, s/p Fall",27
"R Ankle pain, R Shoulder pain",27
"Chest pain, LEFT HIP PAIN - BODY PAIN",27
"ETOH, R Hand pain",27
"Chest pain, Facial pain, L Flank pain",27
L SHOULDER INJURY,27
"gtube eval, Abdominal distention",27
HA X 3 DAYS,27
DARK TARRY STOOLS,27
"BRBPR, Hypoglycemia",27
R HUMEROUS FX,27
"Weakness, Urinary frequency",27
"DSYURIA, LETHARGY",27
"Chills, Fatigue",27
RIGHT ARM CAST EVAL,27
"PSYCH EVAL, R Leg swelling",27
"Dizziness, L Hip pain",27
"FEVERS, HYPOXIA",27
"BRBPR, Chest pain, Dyspnea on exertion, Weakness",27
EVELATED LFT'S,27
"S/P CPR, Syncope",27
S/P HYPOTENTION,27
"s/p Fall, UNWITNESSED",27
L BREAST PAIN,27
FACIAL CELLULITIS,27
"Fever, Lethargy, Transfer",27
"Abd pain, Diarrhea, Pregnant",27
"Epigastric pain, BLOODY STOOLS",27
"Weakness, Melena",27
"Altered mental status, Psychiatric hold",27
LEFT FOOT REDNESS,27
L FINGER INJURY,27
"Diarrhea, Body pain",27
"Abdominal distention, Diarrhea",27
"Alcohol withdrawal, Detox",27
"Nausea, Tremor, Anxiety",27
"R Leg pain, Rash",27
STOMA EVAL,27
FEET SWELLING,27
L LEG PAIN/SWELLING,27
"Dyspnea, Tremor",27
DIZZINESS WITH FALL,27
"L Wrist pain, R Hip pain, s/p Fall",27
"Abd pain, N/V, Fever, Weakness",27
"Psychosis, Failure to thrive",27
"Leg swelling, Leg swelling",27
COLLAR PAIN,27
"Agitation, Weakness",27
"Syncope, Abd pain, Pelvic pain",27
"Upper GI bleed, Transfer",27
ABNORMAL LAB VALUE,27
"R Flank pain, Chest pain",27
"Dyspnea, Leg swelling, Abd pain",27
"Abd pain, n/v/d, Palpitations",27
"MVC, Neck pain, L Lower back pain",27
"Body aches, Hyperglycemia",27
"ILI, N/V, Palpitations",27
"Hyperglycemia, Pregnant",27
"B Flank pain, Fever",27
"R Shoulder pain, FACIAL INJURY, s/p Fall",27
INTRACTABLE VOMITING,27
withdrawal,27
"Upper abdominal pain, Back pain",27
"ETOH, L Rib pain, LUQ abd pain, Nausea",27
TICK RIGHT THIGH,27
NUASEA/VOMITING,27
"N/V, Headache, s/p Fall",27
"Abd pain, Back pain, Hyperglycemia",27
L EYE SWELLING,27
"Transfer, gtube eval",27
ABN LFTS,27
"B Knee pain, Lower back pain",27
LEFT EAR/JAW SWELLING,27
"Fever, R/O SEPSIS",27
"Cough, Paranoid delusion",27
"Laceration, s/p Fall, Seizure",27
FALL-UNWITNESSED,27
"L Hand injury, Dog bite",27
FINGER SWELLING,27
IV INSERTION SITE EVAL,27
"s/p Fall, R Hip fracture",27
,27
"Fever, R Knee pain",27
NECK STIFFNESS,27
"Found down, Headache",27
FEVER/DYSURIA,27
"Pregnant, Syncope",27
"Sore throat, Pleuritic chest pain",27
"HI, Vision changes",27
ICTERIC SCLERA,27
"Oliguria, Weight gain",27
"Hypoxia, Back pain",27
"Wound eval, Hyperglycemia",27
"Head injury, SI",27
"Abnormal CT, s/p Fall, Transfer",27
SHIVERING,27
"Lower abdominal pain, Transfer",27
WANTS RE-EVAL PAIN,27
"L Calf pain, L Foot pain",27
"Hypoxia, gtube eval",27
L Arm cellulitis,27
CP / ETOH,27
PSYCHOSIS/HIP PAIN,27
"R Knee pain, R Neck pain, s/p Fall",27
"Abnormal labs, Chest pain, Dyspnea on exertion",27
"ETOH, PAIN ALL OVER",27
"Body aches, Productive cough",27
"Abd pain, HERNIA",27
"Lower back pain, R Ear pain",27
"Altered mental status, Confusion, Seizure",27
ABD LACERATION,27
NON COMPLIENT WITH MEDICATION,27
"Hypertension, Dizziness, Dizziness",27
BATHING IN A PUDDLE,27
"R Arm pain, s/p Fall, Transfer",27
"HEADACHE, WEAKNESS",27
"SI, L Forearm laceration",27
"Back pain, Diarrhea, Vomiting",27
"Body aches, Cough, ILI",27
NAUSEA/ VOMITING,27
"MVC, L Knee pain",27
"Altered mental status, Lip laceration, s/p Fall",27
DIZZY ,27
"Abd pain, SELF HARM",27
"Headache, Weakness, Body pain",27
MULTIPLE SZ,27
"Hypertension, L Shoulder pain",27
"L Neck pain, Left sided abdominal pain, Neck pain",27
HAND INJ,27
"CHEST PAIN,L ARM PAIN",27
"Hematuria, Penile pain",27
SOB/ANEMIA,27
"Slurred speech, Leg pain",27
R Wrist laceration,27
"Assault, Facial injury",27
DIARRHEA/CONSTIPATION,26
L Pulseless foot,26
"ABD PAIN, VOMITING BLOOD",26
JOINT SWELLING,26
LOWER ABDO PAIN,26
"Weakness, N/V, SI",26
"Finger injury, Transfer",26
"Difficulty swallowing, N/V",26
"R Hand pain, s/p Fall",26
"Head injury, Nausea",26
ARM LACERATION,26
"RUQ abdominal pain, ILI",26
FEVER S/P CHEMO,26
PEG TUBE REPLACEMENT,26
ANGER /SCHIZOAFFECTIVE,26
"Transfer, Epigastric pain",26
"L Arm swelling, Wound eval",26
STRESS IN HEAD,26
"n/v/d, Abnormal labs",26
"Abd pain, Diarrhea, Psych",26
"Hypotension, Eye pain",26
"Chest pain, Respiratory distress",26
"Altered mental status, s/p Fall, Transfer",26
"WEAKNESS,ANEMIA",26
"Body pain, Palpitations",26
ALT MENTAL STATUS,26
"Abnormal EKG, Chest pain, Jaw pain",26
"SI, Depression, Dizziness",26
L SIDED PAIN,26
"RLQ abdominal pain, Back pain",26
"HTN, HA",26
LOWER EXT WEAKNESS,26
"Chest pain, Cough, Nausea",26
R KNEE INFECTION,26
'I CAN'T FUNCTION',26
L HEEL PAIN,26
"SOB,SLOW MEMORY",26
RACING HEART,26
BILATERAL HEAD PRESSURE,26
UNWITNESSED SEIZURE,26
"Mania, Paranoid delusion",26
"R Shoulder pain, R Weakness",26
R/O SHOULDER DISLOCATION,26
HEARTBURN,26
L HIP FX,26
"Cough, R Eye pain",26
"Abnormal CT, Aphasia",26
FATIQUE,26
"HYPOTENSION, LIVER LAC",26
SWOLLEN EYE,26
"L Wrist pain, R Wrist pain",26
LEFT ARM NUMBNESS/TINGLING,26
DEFIBRILLATOR FIRING,26
HEAD SPINNING,26
"MVC, L Arm pain",26
FEVER HYPOTENSION,26
ABCESS RLE,26
"Altered mental status, Psych eval",26
DEFIB FIRING,26
L HAND WEAKNESS,26
"R Hip pain, R Leg pain, s/p Fall",26
RT EYE PAIN,26
"Chest pain, Dyspnea, Lightheaded",26
"ILI, Presyncope",26
"L Thigh pain, Transfer",26
"Anemia, Dental pain",26
"N/V, Lethargy, Chills, Weakness",26
"Lower abdominal pain, Failure to thrive",26
"CHEST PAIN, POST DIALY",26
HALLUCINATIONS INCREASING ,26
HD CATH EVAL/CP,26
"ARM, CHEST PAIN AFTER FALL",26
L LE REDNESS,26
"Abd pain, URI",26
"B Flank pain, Chest pain",26
"Abd pain, Elevated creatinine, Transfer",26
WOUND EVALUATION,26
SWOLLEN GLANDS,26
RIGHT GROIN ABSCESS,26
LEFT EYE SWELLING,26
"R Foot pain, Fever",26
"Headache, Epistaxis",26
BUN & CREAT ELEVATED,26
"Abd pain, Nausea, Vaginal bleeding",26
"L Leg pain, Back pain",26
"Abd pain, Foot pain, Leg swelling",26
"Tachycardia, Atrial fibrillation",26
"L Foot pain, N/V",26
ALCOHOL ABUSE,26
ABRASION,26
R/O FROSTBITE,26
"Abd pain, Malaise, Fatigue",26
"Confusion, Abd pain",26
CLOTTED GRAFT,26
"Angioedema, Facial swelling",26
"Abd pain, Headache, R Inguinal pain",26
EPIDURAL ABCESS,26
"Presyncope, Transfer",26
"Hematuria, n/v/d",26
"L Foot pain, L Ankle pain",26
"s/p Fall, Lip laceration, s/p Fall",26
"BODYACHES,H/A,FEVER",26
"Confusion, Agitation",26
MIDLINE EVAL,26
"s/p Fall, Leg pain",26
"SI,CP,NV",26
"Chest pain, Dyspnea, L Arm weakness",26
"s/p Fall, Head injury, Arm numbness",26
BURNING IN CHEST,26
"BRBPR, Lower abdominal pain, Melena",26
"Chest pain, Weakness, Dyspnea",26
"Abd pain, Chest pain, Diarrhea",26
VAG DISCHARGE,26
"FOREIGN BODY, THROAT",26
"Diarrhea, Epigastric pain",26
FEELING UNSTEADY GAIT,26
DELTA MENTAL STATUS,26
"L Arm fracture, s/p Fall",26
ABD SPASM,26
RETURN,26
DIZZINESS/FORGETFUL,26
"L Ankle swelling, R Knee swelling",26
"Abd pain, PICC line eval, Vomiting",26
R LEG LACERATION,26
"HEART BURN, Nausea, Diarrhea, Vomiting",26
"Lower back pain, SICKLE CELL",26
"Shoulder pain, Hip pain, SICKLE CELL",26
"Lower back pain, Foot pain",26
ETOH/REQ DETOX,26
"s/p Fall, Head injury, Arm pain",26
"Lower back pain, Confusion",26
"Rib pain, Chest pain",26
"Loss of consciousness, Syncope",26
RIGHT UPPER QUADRANT PAIN,26
HEADACHE/HYPERTENSION,26
L EAR PAIN/ST,26
RESTLESS LEGS,26
"Ear pain, Chest pain, Cough",26
"Headache, Eye pain",26
"s/p Fall, L Leg injury, R Ankle injury",26
EXPOSURE TO COMMUNICABLE DISEASE,26
"Cough, Dyspnea on exertion, Fever",26
"Chest pain, Detox, ETOH",26
"Dyspnea, WITHDRAWEL",26
BILAT ANKLE SWELLING,26
"ABD PAIN, N/V/D",26
"Vaginal bleeding, Chest pain",26
"Chest pain, Dyspnea, Headache",26
EYE ITCHING,26
L HIP PAIN/SICKLE CELL,26
"L Leg swelling, Syncope",26
"Facial swelling, Neck pain",26
"Back pain, DECUBITUS PAIN",26
HYPOTENSION FROM DIALYSIS,26
"Headache, Abnormal CT",26
FEVER  N/V,26
FEVER/HYPOGLYCEMIC,26
"Dyspnea, Hypoxia, Respiratory distress, Tachypnea",26
LEFT BIG TOE SWELLING,26
"Cough, Upper back pain",26
"Failure to thrive, Diarrhea",26
R CHEST WALL PAIN,26
REQUEST MEDICAL CLEARANCE,26
AICD FIRE,26
"Abd pain, N/V, Hiccups",26
"Coffee ground emesis, Fever",26
"Neck swelling, Transfer",26
DOE X4 D,26
"R Shoulder pain, Lower back pain",26
NECROTIC TOE,26
TWISTED R ANKLE,26
"Chest pain, Dyspnea, ETOH, Hypoglycemia",26
ABD PAIN/ N/V,26
RIGHT CHEST WALL PAIN,26
"N/V , FEVER",26
S/P THORACETHESIS ___,26
FOOT PUNCTURE,26
"SI, INTOXICATION, Palpitations",26
"Rash, Transfer, Herpes zoster",26
TOE LACS,26
PAIN WITH URINATION,26
GOUT /R WRIST INJURY ,26
S/P HYPOGLYCEMIC,26
"L Leg swelling, s/p Fall",26
"Knee pain, L Shoulder pain, s/p Fall",26
"Back pain, Shoulder pain",26
"Abd pain, Suprapubic pain",26
R FOOT GOUT,26
L ARM NUMBNESS/TINGLING,26
ABD RASH,26
"n/v/d, Hypoglycemia",26
"Abd pain, Dizziness, Vomiting",26
"B Leg pain, B Arm pain, Anxiety",26
"SOB, ABD DISTENTION",26
"Abd pain, BRBPR, Jaundice",26
W,26
LEFT PELVIC FX,26
"Substance use, AH",26
COUGH/CONGESTION/?ILI,26
"Chest pain, Lethargy, Dyspnea",26
APPY,26
FEEDING TUBE FALLING OUT,26
"Abnormal labs, Weakness, Transfer",26
"B Knee pain, Dizziness, Leg swelling",26
RLE EVAL,26
"Altered mental status, Hyperglycemia, R Foot pain",26
"Body pain, Urinary urgency",26
"Weakness, VOMIT/DIARRHEA",26
"R Facial droop, Seizure",26
"Weakness, N/V, Dizziness",26
SHUNT EVAL,26
MOSQUITO BITES,26
"Hypoxia, Tachycardia",26
"DIZZY,LIGHTHEADED",26
"Dizziness, N/V, Hyperglycemia",26
"Arm pain, Seizure",26
"n/v/d, Wound eval, Fever",26
RIB  FX  PAIN,26
SKIN GRAFT INFECTION,26
L Foot laceration,26
"Dizziness, Syncope, Dyspnea on exertion",26
LOWER LEG CRAMP,26
FOUND ON SIDEWALK,26
RIGHT HAND CELLULITIS,26
"Cough, L Ear pain",26
"Wound eval, L Flank pain, Dysuria",26
NASAL PACKING REMOVAL,26
"L Arm pain, EtOH detox",26
"Knee pain, Knee pain, ETOH",26
"N/V, ETOH WITHDRAWL",26
"Fatigue, TOE NUMBNESS",26
"s/p Fall, L Hip pain, TREMULOUS",26
"Diarrhea, Leg pain",26
WEAKNESS/DETOX,26
"Detox, RUQ abdominal pain, ETOH",26
"s/p Fall, Back pain, Syncope",26
NOSE INJURY,26
"SI, R Foot pain",26
NEEDS MIDLINE,26
H/A BODYACHES,26
SIATICA,26
WEAKN,26
"L Leg swelling, Nausea",26
CHRONS FLARE,26
"ETOH, R Elbow pain",26
"Dizziness, Fatigue, Nausea, Weakness",26
"Atrial fibrillation, Lightheaded",26
"COUGH, DYSPNEA",26
"Failure to thrive, Tremor",26
ABD  N/V,26
FEVER/DYSPNEA,26
LEG PAINS,26
"SI, L Chest pain",26
PSYCH MED REFILL,26
BACK WOUNDS,26
DIZZY/FALL,26
L ELBOW CELLULITIS,26
R  LEG CELLULITIS,26
epidermolysis bullosa,26
"Weakness, Back pain, Dysuria",26
R FOOT SWELLING/REDNESS,26
HEADBLEED,26
"DIZZINESS,NAUSEA",26
BACK PAIN/HIP PAIN,26
"Dysuria, Ear pain",26
"R Knee injury, Transfer",26
ETOH/HYPOTENSIVE,26
"L Arm swelling, L Shoulder pain",26
"L Leg pain, R Hand pain",26
FEVERS/DIARRHEA,26
INTERMITTENT SOB,26
"R Eye pain, Headache",26
RLQ AND RIGHT FLANK PAIN,26
"Abdominal distention, Lethargy",26
ABD CRAMPING/VAG BLEEDING,26
"Presyncope, Dizziness, Jaw pain",26
SPINE PAIN,26
CHF EXACERBATION,26
LOWER EXTREMITY WEAKNESS,26
"Urinary urgency, Weakness",26
"Abd pain, R/O ABCESS",26
"Cough, Dyspnea, R Hip pain",26
"Hyperglycemia, L Knee pain",26
"Dyspnea, Urinary retention",26
"Rib pain, Cough",26
"L Knee injury, L Knee pain",26
"R Ankle pain, Skin erythema",26
LABILE BLOOD SUGAR,26
"Syncope, Lightheaded",26
"Syncope, Fatigue",26
"Leg pain, Lower back pain, Sickle cell crisis",26
"Cough, ILI, N/V, Tachycardia",26
"Pain, Tachycardia",26
"L Ankle pain, Weakness",26
PSYCH EVAL ,26
WEAK COUGH,26
"Abnormal sodium level, Hypotension",26
B Leg numbness,26
"Sickle cell crisis, Back pain",26
"Chest pain, Back pain, Sickle cell crisis",26
R LEG EDEMA,25
"Chest pain, HEARTBURN",25
"Rectal pain, n/v/d",25
"Abd pain, BRBPR, Diarrhea",25
"Abnormal labs, Anemia, N/V",25
S/P ?SEIZURE,25
"Weakness, L Shoulder pain, Chest pain",25
"Abd pain, Epigastric pain, L Ankle pain",25
"Left sided abdominal pain, Tachycardia",25
"L Leg pain, L Leg redness, L Leg swelling",25
SWOLLEN ABD,25
RIGHT EYE VISUAL CHANGES,25
"Drug withdrawal, L Leg pain",25
"Dyspnea, Lethargy, Abnormal labs, Chest pain",25
"Altered mental status, Bradycardia",25
"Dyspnea, SORES",25
LEFT SIDED CHEST PAINS,25
PD CATHETER EVAL,25
N/V/WEAKNESS,25
DYSPNEA/FEVER,25
COUGHING BLOOD,25
"Body aches, Insomnia",25
"Abdominal distention, B Leg swelling",25
"Dyspnea, Anemia, Abnormal labs",25
"R Foot pain, Transfer",25
RIGHT LOWER EXTREMITY REDNESS,25
"Allergic reaction, CELLULITIS",25
Tick bite,25
"Depression, Overdose",25
ASTHMA EXACERBATION/RASH,25
ABNL LAB VALUES,25
R   WRIST   PAIN,25
"Back pain, Urinary incontinence, Transfer",25
R Knee laceration,25
"Chest pain, Depression",25
WOUND EVAL.,25
"Chest pain, Cough, Dyspnea, Fever, ILI",25
"ETOH, COMBATIVE",25
L SIDED HEAD PAIN,25
NECK INJURY,25
"Jaw pain, Sore throat",25
PANCREATITIS PAIN,25
"Epistaxis, Tachycardia",25
R FOOT  PAIN,25
NG TUBE CONFIRMATION,25
ABD PAIN WITH DISTENTION,25
___/ DEPRESSION/SI,25
"Fever, R Ankle pain",25
"Chest pain, Hallucinations, SI",25
CP/ARM PAIN,25
"Presyncope, Melena",25
"Diarrhea, Back pain",25
"Abd pain, Cough, Fever",25
LEFT LEG PAIN/FEVER,25
"Abnormal labs, Seizure",25
"Rash, Failure to thrive",25
"LUQ abd pain, Tachycardia",25
"Psych eval, Psychiatric hold",25
"SVT, CP",25
"Abd pain, Chills, Lethargy, Lightheaded",25
"RLQ abdominal pain, Lightheaded",25
palps,25
R BREAST LUMP,25
WOUND CHECK ,25
"Abdominal distention, Chest pain, Leg swelling",25
"Chest pain, Pneumothorax",25
"UTI, SUPRAPUBIC TUBE MALFUNCTION, Fever",25
"Abnormal EKG, Hypertension",25
LEFT HIP/LEG PAIN,25
"Chest pain, Dizziness, Dizziness",25
"Weakness, L Hip pain",25
"Abd pain, Kidney stone",25
"R Foot pain, R Hip pain",25
?GIB,25
"Chest pain, Palpitations, Productive cough",25
BILAT BUTTOCK PAIN,25
"Fever, Vomiting, POST/OP",25
L 3RD FINGER LAC,25
"Chest pain, Abd pain, Vomiting, Nausea",25
R FOREARM INJURY,25
ABNORMAL LABS/TARRY STOOLS,25
BILAT LEG SWELLING/REDNESS,25
CATHETER BURNING,25
HEAD AND CHEST CONGESTION,25
"Hyperglycemia, Lightheaded",25
"BRBPR, Lower abdominal pain, Presyncope",25
"Hand pain, Knee pain, s/p Fall",25
LIGHTHEADED/PALPATATIONS,25
REQUESTING PREGNANCY TEST,25
R PLEURAL EFFUSION,25
"Elevated INR, Fever",25
"Dyspnea, Chest pain, Respiratory distress",25
"Body pain, Hematuria",25
"Dysuria, Vomiting",25
HEAVY HEAD,25
"Agitation, Med refill",25
DEPRESSION AND SI,25
HYPERTENSIVE AT HOME,25
?? ALLERGIC REACTION,25
"BRBPR, Hypotension, Transfer",25
"ETOH, R Flank pain, R Rib pain",25
"Fever, N/V, Weakness",25
CHEST PAIN/HEADACHE,25
"ETOH, n/v/d, Unable to ambulate",25
"Tachycardia, Hypoxia",25
"Hematuria, Dysuria, Testicular pain",25
"Syncope, L Weakness",25
"Assault, L Arm pain",25
"Abd pain, Upper back pain",25
L FOOT NUMBNESS,25
BILATERAL LE EDEMA,25
"Anemia, Epistaxis",25
"Chest pain, L Flank pain, Fever",25
"ETOH, R Arm pain, s/p Fall",25
"S/P FALL, BROKEN TOOTH",25
"AH, ETOH, Substance use",25
"Hyperglycemia, L Leg pain",25
"Anemia, Weakness, Dyspnea",25
"Abd pain, Elevated wbc",25
+ TROP,25
CATHETER DISLODGED,25
"Allergic reaction, Cough",25
"Assault, Facial swelling",25
"Abnormal EKG, Abnormal labs",25
"Transfer, C-spine fracture",25
"Presyncope, Presyncope",25
"Melena, Lightheaded",25
"LLQ abdominal pain, Diarrhea, Nausea, Chest pain",25
"Pneumonia, BRBPR",25
"Paranoid delusion, Substance use",25
"Chest pain, Abd pain, Dyspnea on exertion",25
"B Leg pain, BRBPR, Dyspnea",25
GENERAL BODY PAIN,25
"Chest pain, Abd pain, Flank pain",25
"Chest pain, Diarrhea, Dyspnea",25
"Dental pain, Gum bleeding",25
CHEST PAIN SHORT OF BREATH,25
"Fatigue, s/p Fall",25
"Diarrhea, R Foot pain",25
GENERALLY UNWELL,25
"Hypoxia, Cough",25
? SZ/N/V,25
ALT MS ,25
LEFT LEG SWOLLEN,25
"Head injury, Hematuria",25
STIFF NECK,25
UTI SYMPTOMS,25
"Sore throat, N/V, Fever",25
LEFT EYE REDDENING,25
"Leg numbness, Leg swelling",25
ARRYTHMIA,25
"L Hip pain, S/P SURGERY",25
BLEEDING FROM POST OP WOUND,25
"Abnormal sodium level, n/v/d",25
?DEHYDRATED,25
"s/p Fall, Body pain",25
PRESYNCOPE/SYNCOPE,25
"Clotted fistula, Transfer",25
HEMATURIA; HEADACHE,25
RIGHT FACIAL WEAKNESS,25
"Seizure, LLQ abdominal pain",25
FALL ALTERED,25
"Wound eval, Lethargy",25
"Hallucinations, R Hip pain",25
LOVENOX SHOT,25
VOMITING/LEFT HIP INFECTION,25
LEFT HIP SWELLING,25
"Epistaxis, Laceration of mouth",25
"R Leg pain, Anxiety",25
EU CRITICAL/R/O STROKE,25
FOLEY NOT DRAINING,25
"Dizziness, N/V, Vertigo",25
"FEVER, VOMITING, LOW PLTS",25
"COUGH,H/A",25
"SI, HOARSE VOICE S/P BELT",25
"n/v/d, Pain",25
"Chest pain, R Ear pain",25
"Psych, Detox",25
"NVD, Abd pain",25
"Dyspnea, R Hand numbness",25
"L Foot injury, Fever",25
"Lightheaded, Melena",25
"Headache, L Lower back pain, Neck pain",25
"Fatigue, Pain",25
LEFT SIDED CP,25
"Altered mental status, STEMI, Transfer",25
"L Knee pain, Fever",25
ABD PAIN & DISTENTION,25
"PAIN LEFT AXILLA, Fever",25
R Foot numbness,25
"Lethargy, Wound eval, Transfer",25
"Neck pain, ILI",25
"BRBPR, Confusion",25
"Fever, LETHARGY",25
FEVER WITH COUGH,25
psych eval,25
FINGER NUMBNESS,25
"L Elbow pain, R Knee pain",25
"Transfer, Chest pain, Dyspnea",25
"R Leg pain, R Leg Redness, R Leg swelling",25
LEFT AXILLA ABSCESS/RIGHT CALF ABSCESS,25
"CHEST PAIN, BURPING",25
FEEDING TUBE BLOCKED,25
"Transfer, CVA, Headache",25
"Abnormal labs, Hypoglycemia",25
GTUBE PLACEMENT,25
"BACK, FLANK PAIN",25
"Dyspnea, Alcohol withdrawal",25
JOINT PAIN/SWELLING,25
"Asthma exacerbation, Foot swelling",25
"Dysuria, L Flank pain, Lower abdominal pain",25
"Abnormal labs, Nausea",25
"Fever, Jaundice",25
"R Foot pain, R Leg pain, Wound eval",25
"Left sided abdominal pain, Nausea",25
"Abnormal MRI, SDH",25
"Difficulty swallowing, Neck pain",25
"Dizziness, Vision changes",25
LEFT FOOT  PAIN,25
"Abnormal CT, Back pain",25
"Facial droop, Slurred speech, Transfer",25
"Dysuria, Hypotension, Tremor",25
"Hypotension, Hypoxia, R/O SEPSIS",25
"Dysuria, Confusion, Fever",25
FEVER/?PORT INFECTION,25
"ABD PAIN,DISTENTION",25
"Altered mental status, ETOH, Jaundice",25
ELEVATED LFTS,25
HEARTBLOCK,25
"Lower back pain, UTI",25
"Hepatic encephalopathy, Transfer",25
SOB/COUGH/HYPOXIA,25
"Body pain, VASCULITIS",25
"Abd pain, Body aches, Cough",25
"Abd pain, n/v/d, Presyncope",25
"Rash, THROAT SWELLING",25
"Chest pain, EtOH detox",25
"R Arm swelling, Pain",25
"___, Dizziness",25
"Asthma exacerbation, Upper abdominal pain",25
L FACIAL DROOP,25
"UNSTEADY GAIT, SPEECH SLURRED",25
"Chest pain, Abd pain, Abdominal distention",25
"Abd pain, Headache, Hyperglycemia",25
FOR PICC ,25
DIARHEA AND ABD PAIN,25
"Cough, Fever, Tachypnea",25
ABD PAIN WITH N/V ,25
DIARRHEA AND ABD PAIN,25
"Lower back pain, Neck pain, MVC",25
HYPERGLYCEMIA  N/V,25
"Headache, Pregnant, Visual changes",25
NAUSEA/HYPERGLYCEMIA,25
INCREASE BUN AND CR,25
TONGUE BURNING SENSATION,25
CLOUDY URINE,25
"WEAKNESS, NAUSEA",25
"L Calf pain, L Leg pain",25
"Altered mental status, Abnormal sodium level",25
SKIN CYSTS,25
"Abd pain, Vomiting, ETOH",25
BICYCLE STRUCK,25
CP/PALPS,25
WEAK/DIZZY,25
SKIN RASH,25
"Nausea, Vomiting, Chest pain",25
"LUQ abd pain, Chest pain",25
"ETOH, ASSAULT",25
"ETOH, Assault, Back pain, Chest pain",25
"ETOH, Fever, Palpitations",25
"SI, HANGING ATTEMPT",25
LESIONS,25
"Assault, Back pain, L Shoulder pain",25
"Body aches, Chest pain, Nausea",25
"Vomiting, Nausea, Hyperglycemia",25
ELEVATED TROP,25
NAUSEA/DIARHEA,25
"ETOH, R Eye pain",25
"Abd pain, DKA",25
PRURITUS,25
RIGHT TESTICLE PAIN,25
B/L LE PAIN,25
"B Flank pain, Chest pain, Dyspnea, Dyspnea",25
"Fever, Vaginal bleeding",25
FLANK PAIN/HEMATURIA,25
"N/V, Constipation",25
TRACH SELF-DC'D,25
AIRWAY EVAL,25
HEAD AND JAW PAIN S/P FALL,25
ABD  PAIN  DIARRHEA,25
"Hypertension, Lethargy, Headache",25
"Vomiting, Melena",25
SPLINTER,25
"Fatigue, Hypotension",25
"BRBPR, Wound eval",25
VAG BLEEDING ,25
"Hip fracture, s/p Fall, Transfer",25
ALLERGIC RX ,24
LIP EDEMA,24
"Chest pain, Headache, Dyspnea",24
NGTUBE EVAL,24
BODY EDEMA,24
"Inguinal pain, RLQ abdominal pain",24
"Transfer, Back pain, s/p Fall",24
"L Facial droop, L Facial numbness, L Eye eval",24
GENERAL EDEMA,24
JAW DISLOCATION,24
WEAK/DEPRESSED,24
RIGHT LOWER LEG PAIN,24
"Altered mental status, ILI",24
"SOB,EDEMA",24
H/A DIZZY,24
"Lethargy, Dyspnea",24
___ ___,24
"Jaundice, Abdominal distention",24
"Weakness, Difficulty swallowing",24
"B Leg pain, Chills",24
"Vomiting, N/V, Abd pain",24
